expID,Experimenter,Date,Device,Temperature,Shaking,CO2
240623_growth_phenotyping_ct,Snorre Sulheim,240623,Biotek Synergy 2408,28,Y,N
240623_growth_phenotyping_ml,Snorre Sulheim,240623,Biotek Synergy 2408,28,Y,N
240623_growth_phenotyping_at,Snorre Sulheim,240623,Biotek Synergy 2408,28,Y,N
240623_growth_phenotyping_oa,Snorre Sulheim,240623,Biotek Synergy 2408,28,Y,N
