linegroup,comments
240808_acetate_glutarate_l-glutamate_240808_E10,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_A8,None
240808_acetate_glutarate_l-glutamate_240808_F6,None
240808_acetate_glutarate_l-glutamate_240808_A9,None
240808_acetate_glutarate_l-glutamate_240808_A1,None
240808_acetate_glutarate_l-glutamate_240808_F4,None
240808_acetate_glutarate_l-glutamate_240808_G7,None
240808_acetate_glutarate_l-glutamate_240808_C8,None
240808_acetate_glutarate_l-glutamate_240808_B3,None
240808_acetate_glutarate_l-glutamate_240808_B7,None
240808_acetate_glutarate_l-glutamate_240808_A3,None
240808_acetate_glutarate_l-glutamate_240808_G12,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_G3,None
240808_acetate_glutarate_l-glutamate_240808_B4,None
240808_acetate_glutarate_l-glutamate_240808_B5,None
240808_acetate_glutarate_l-glutamate_240808_E1,None
240808_acetate_glutarate_l-glutamate_240808_E2,None
240808_acetate_glutarate_l-glutamate_240808_C9,None
240808_acetate_glutarate_l-glutamate_240808_E9,None
240808_acetate_glutarate_l-glutamate_240808_F10,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_C2,None
240808_acetate_glutarate_l-glutamate_240808_C7,None
240808_acetate_glutarate_l-glutamate_240808_B6,None
240808_acetate_glutarate_l-glutamate_240808_A4,None
240808_acetate_glutarate_l-glutamate_240808_G5,None
240808_acetate_glutarate_l-glutamate_240808_G9,None
240808_acetate_glutarate_l-glutamate_240808_F3,None
240808_acetate_glutarate_l-glutamate_240808_G4,None
240808_acetate_glutarate_l-glutamate_240808_G10,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_B1,None
240808_acetate_glutarate_l-glutamate_240808_C6,None
240808_acetate_glutarate_l-glutamate_240808_B9,None
240808_acetate_glutarate_l-glutamate_240808_E5,None
240808_acetate_glutarate_l-glutamate_240808_B8,None
240808_acetate_glutarate_l-glutamate_240808_E3,None
240808_acetate_glutarate_l-glutamate_240808_C11,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_E6,None
240808_acetate_glutarate_l-glutamate_240808_E7,None
240808_acetate_glutarate_l-glutamate_240808_F2,None
240808_acetate_glutarate_l-glutamate_240808_G8,None
240808_acetate_glutarate_l-glutamate_240808_E12,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_E11,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_C10,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_F7,None
240808_acetate_glutarate_l-glutamate_240808_A2,None
240808_acetate_glutarate_l-glutamate_240808_A12,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_A7,None
240808_acetate_glutarate_l-glutamate_240808_C1,None
240808_acetate_glutarate_l-glutamate_240808_E4,None
240808_acetate_glutarate_l-glutamate_240808_A6,None
240808_acetate_glutarate_l-glutamate_240808_C3,None
240808_acetate_glutarate_l-glutamate_240808_C12,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_F5,None
240808_acetate_glutarate_l-glutamate_240808_F8,None
240808_acetate_glutarate_l-glutamate_240808_E8,None
240808_acetate_glutarate_l-glutamate_240808_A5,None
240808_acetate_glutarate_l-glutamate_240808_G11,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_F12,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_B2,None
240808_acetate_glutarate_l-glutamate_240808_F1,None
240808_acetate_glutarate_l-glutamate_240808_F11,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_A10,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_F9,None
240808_acetate_glutarate_l-glutamate_240808_B12,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_C4,None
240808_acetate_glutarate_l-glutamate_240808_C5,None
240808_acetate_glutarate_l-glutamate_240808_G6,None
240808_acetate_glutarate_l-glutamate_240808_B10,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_B11,Proline was contaminated.
240808_acetate_glutarate_l-glutamate_240808_G2,None
240808_acetate_glutarate_l-glutamate_240808_G1,None
240808_acetate_glutarate_l-glutamate_240808_A11,Proline was contaminated.
