exp_ID,Experimenter,Experiment description,Date,Device,Temperature,Shaking,CO2
nccr_mwf_phenotyping_Kq_109,Alisson Gillon,Kq 109 growth phenotyping,230724,Synergy H1 Biotek,28,282,N
nccr_mwf_phenotyping_Af_122,Alisson Gillon,Af 122 growth phenotyping,290524,Synergy H1 Biotek,28,282,N
nccr_mwf_phenotyping_Pr_119,Alisson Gillon,Pr 119 growth phenotyping,230524,Synergy H1 Biotek,28,282,N
nccr_mwf_phenotyping_Ea_108,Alisson Gillon,Ea 108 growth phenotyping,201124,Synergy H1 Biotek,28,282,N
nccr_mwf_phenotyping_Ac_103,Alisson Gillon,Ac 103 growth phenotyping,290524,Synergy H1 Biotek,28,282,N
nccr_mwf_phenotyping_An_101,Alisson Gillon,An 101 growth phenotyping,230524,Synergy H1 Biotek,28,282,N
nccr_mwf_phenotyping_Pf_114,Alisson Gillon,Pf 114 growth phenotyping,150524,Synergy H1 Biotek,28,282,N
nccr_mwf_phenotyping_Sw_1W,Alisson Gillon,Sw 1W growth phenotyping,131124,Synergy H1 Biotek,28,282,N
