linegroup,inhibitor,inhibitor_conc
nccr_mwf_phenotyping_Af_122_C8,None,0
nccr_mwf_phenotyping_Af_122_C9,None,0
nccr_mwf_phenotyping_Af_122_D4,None,0
nccr_mwf_phenotyping_Af_122_D5,None,0
nccr_mwf_phenotyping_Af_122_D6,None,0
nccr_mwf_phenotyping_Af_122_G4,None,0
nccr_mwf_phenotyping_Af_122_G5,None,0
nccr_mwf_phenotyping_Af_122_G6,None,0
nccr_mwf_phenotyping_Af_122_H7,None,0
nccr_mwf_phenotyping_Af_122_H8,None,0
nccr_mwf_phenotyping_Af_122_H9,None,0
nccr_mwf_phenotyping_Af_122_C4,None,0
nccr_mwf_phenotyping_Af_122_C5,None,0
nccr_mwf_phenotyping_Af_122_C6,None,0
nccr_mwf_phenotyping_Af_122_F1,None,0
nccr_mwf_phenotyping_Af_122_F2,None,0
nccr_mwf_phenotyping_Af_122_F3,None,0
nccr_mwf_phenotyping_Af_122_A1,None,0
nccr_mwf_phenotyping_Af_122_A2,None,0
nccr_mwf_phenotyping_Af_122_A3,None,0
nccr_mwf_phenotyping_Af_122_C10,None,0
nccr_mwf_phenotyping_Af_122_C11,None,0
nccr_mwf_phenotyping_Af_122_C12,None,0
nccr_mwf_phenotyping_Af_122_E10,None,0
nccr_mwf_phenotyping_Af_122_E11,None,0
nccr_mwf_phenotyping_Af_122_E12,None,0
nccr_mwf_phenotyping_Af_122_B4,None,0
nccr_mwf_phenotyping_Af_122_B5,None,0
nccr_mwf_phenotyping_Af_122_B6,None,0
nccr_mwf_phenotyping_Af_122_E4,None,0
nccr_mwf_phenotyping_Af_122_E5,None,0
nccr_mwf_phenotyping_Af_122_E6,None,0
nccr_mwf_phenotyping_Af_122_F4,None,0
nccr_mwf_phenotyping_Af_122_F5,None,0
nccr_mwf_phenotyping_Af_122_F6,None,0
nccr_mwf_phenotyping_Af_122_F7,None,0
nccr_mwf_phenotyping_Af_122_F8,None,0
nccr_mwf_phenotyping_Af_122_F9,None,0
nccr_mwf_phenotyping_Af_122_G7,None,0
nccr_mwf_phenotyping_Af_122_G8,None,0
nccr_mwf_phenotyping_Af_122_G9,None,0
nccr_mwf_phenotyping_Af_122_D10,None,0
nccr_mwf_phenotyping_Af_122_D11,None,0
nccr_mwf_phenotyping_Af_122_D12,None,0
nccr_mwf_phenotyping_Af_122_E7,None,0
nccr_mwf_phenotyping_Af_122_E8,None,0
nccr_mwf_phenotyping_Af_122_E9,None,0
nccr_mwf_phenotyping_Af_122_G10,None,0
nccr_mwf_phenotyping_Af_122_G11,None,0
nccr_mwf_phenotyping_Af_122_G12,None,0
nccr_mwf_phenotyping_Af_122_B7,None,0
nccr_mwf_phenotyping_Af_122_B8,None,0
nccr_mwf_phenotyping_Af_122_B9,None,0
nccr_mwf_phenotyping_Af_122_A10,None,0
nccr_mwf_phenotyping_Af_122_A11,None,0
nccr_mwf_phenotyping_Af_122_A12,None,0
nccr_mwf_phenotyping_Af_122_B10,None,0
nccr_mwf_phenotyping_Af_122_B11,None,0
nccr_mwf_phenotyping_Af_122_B12,None,0
nccr_mwf_phenotyping_Af_122_B1,None,0
nccr_mwf_phenotyping_Af_122_B2,None,0
nccr_mwf_phenotyping_Af_122_B3,None,0
nccr_mwf_phenotyping_Af_122_H4,None,0
nccr_mwf_phenotyping_Af_122_H5,None,0
nccr_mwf_phenotyping_Af_122_H6,None,0
nccr_mwf_phenotyping_Af_122_H10,None,0
nccr_mwf_phenotyping_Af_122_H11,None,0
nccr_mwf_phenotyping_Af_122_H12,None,0
nccr_mwf_phenotyping_Af_122_D7,None,0
nccr_mwf_phenotyping_Af_122_D8,None,0
nccr_mwf_phenotyping_Af_122_D9,None,0
nccr_mwf_phenotyping_Af_122_A4,None,0
nccr_mwf_phenotyping_Af_122_A5,None,0
nccr_mwf_phenotyping_Af_122_A6,None,0
nccr_mwf_phenotyping_Pr_119_F10,None,0
nccr_mwf_phenotyping_Pr_119_F11,None,0
nccr_mwf_phenotyping_Pr_119_F12,None,0
nccr_mwf_phenotyping_Pr_119_D1,None,0
nccr_mwf_phenotyping_Pr_119_D2,None,0
nccr_mwf_phenotyping_Pr_119_D3,None,0
nccr_mwf_phenotyping_Pr_119_A7,None,0
nccr_mwf_phenotyping_Pr_119_A8,None,0
nccr_mwf_phenotyping_Pr_119_A9,None,0
nccr_mwf_phenotyping_Pr_119_E1,None,0
nccr_mwf_phenotyping_Pr_119_E2,None,0
nccr_mwf_phenotyping_Pr_119_E3,None,0
nccr_mwf_phenotyping_Pr_119_G1,None,0
nccr_mwf_phenotyping_Pr_119_G2,None,0
nccr_mwf_phenotyping_Pr_119_G3,None,0
nccr_mwf_phenotyping_Pr_119_H1,None,0
nccr_mwf_phenotyping_Pr_119_H2,None,0
nccr_mwf_phenotyping_Pr_119_H3,None,0
nccr_mwf_phenotyping_Pr_119_C1,None,0
nccr_mwf_phenotyping_Pr_119_C2,None,0
nccr_mwf_phenotyping_Pr_119_C3,None,0
nccr_mwf_phenotyping_Pr_119_C7,None,0
nccr_mwf_phenotyping_Pr_119_C8,None,0
nccr_mwf_phenotyping_Pr_119_C9,None,0
nccr_mwf_phenotyping_Pr_119_D4,None,0
nccr_mwf_phenotyping_Pr_119_D5,None,0
nccr_mwf_phenotyping_Pr_119_D6,None,0
nccr_mwf_phenotyping_Pr_119_G4,None,0
nccr_mwf_phenotyping_Pr_119_G5,None,0
nccr_mwf_phenotyping_Pr_119_G6,None,0
nccr_mwf_phenotyping_Pr_119_H7,None,0
nccr_mwf_phenotyping_Pr_119_H8,None,0
nccr_mwf_phenotyping_Pr_119_H9,None,0
nccr_mwf_phenotyping_Pr_119_C4,None,0
nccr_mwf_phenotyping_Pr_119_C5,None,0
nccr_mwf_phenotyping_Pr_119_C6,None,0
nccr_mwf_phenotyping_Pr_119_F1,None,0
nccr_mwf_phenotyping_Pr_119_F2,None,0
nccr_mwf_phenotyping_Pr_119_F3,None,0
nccr_mwf_phenotyping_Pr_119_A1,None,0
nccr_mwf_phenotyping_Pr_119_A2,None,0
nccr_mwf_phenotyping_Pr_119_A3,None,0
nccr_mwf_phenotyping_Pr_119_C10,None,0
nccr_mwf_phenotyping_Pr_119_C11,None,0
nccr_mwf_phenotyping_Pr_119_C12,None,0
nccr_mwf_phenotyping_Pr_119_E10,None,0
nccr_mwf_phenotyping_Pr_119_E11,None,0
nccr_mwf_phenotyping_Pr_119_E12,None,0
nccr_mwf_phenotyping_Pr_119_B4,None,0
nccr_mwf_phenotyping_Pr_119_B5,None,0
nccr_mwf_phenotyping_Pr_119_B6,None,0
nccr_mwf_phenotyping_Pr_119_E4,None,0
nccr_mwf_phenotyping_Pr_119_E5,None,0
nccr_mwf_phenotyping_Pr_119_E6,None,0
nccr_mwf_phenotyping_Pr_119_F4,None,0
nccr_mwf_phenotyping_Pr_119_F5,None,0
nccr_mwf_phenotyping_Pr_119_F6,None,0
nccr_mwf_phenotyping_Pr_119_F7,None,0
nccr_mwf_phenotyping_Pr_119_F8,None,0
nccr_mwf_phenotyping_Pr_119_F9,None,0
nccr_mwf_phenotyping_Pr_119_G7,None,0
nccr_mwf_phenotyping_Pr_119_G8,None,0
nccr_mwf_phenotyping_Pr_119_G9,None,0
nccr_mwf_phenotyping_Pr_119_D10,None,0
nccr_mwf_phenotyping_Pr_119_D11,None,0
nccr_mwf_phenotyping_Pr_119_D12,None,0
nccr_mwf_phenotyping_Pr_119_E7,None,0
nccr_mwf_phenotyping_Pr_119_E8,None,0
nccr_mwf_phenotyping_Pr_119_E9,None,0
nccr_mwf_phenotyping_Pr_119_G10,None,0
nccr_mwf_phenotyping_Pr_119_G11,None,0
nccr_mwf_phenotyping_Pr_119_G12,None,0
nccr_mwf_phenotyping_Pr_119_B7,None,0
nccr_mwf_phenotyping_Pr_119_B8,None,0
nccr_mwf_phenotyping_Pr_119_B9,None,0
nccr_mwf_phenotyping_Pr_119_A10,None,0
nccr_mwf_phenotyping_Pr_119_A11,None,0
nccr_mwf_phenotyping_Pr_119_A12,None,0
nccr_mwf_phenotyping_Pr_119_B10,None,0
nccr_mwf_phenotyping_Pr_119_B11,None,0
nccr_mwf_phenotyping_Pr_119_B12,None,0
nccr_mwf_phenotyping_Pr_119_B1,None,0
nccr_mwf_phenotyping_Pr_119_B2,None,0
nccr_mwf_phenotyping_Pr_119_B3,None,0
nccr_mwf_phenotyping_Pr_119_H4,None,0
nccr_mwf_phenotyping_Pr_119_H5,None,0
nccr_mwf_phenotyping_Pr_119_H6,None,0
nccr_mwf_phenotyping_Pr_119_H10,None,0
nccr_mwf_phenotyping_Pr_119_H11,None,0
nccr_mwf_phenotyping_Pr_119_H12,None,0
nccr_mwf_phenotyping_Pr_119_D7,None,0
nccr_mwf_phenotyping_Pr_119_D8,None,0
nccr_mwf_phenotyping_Pr_119_D9,None,0
nccr_mwf_phenotyping_Pr_119_A4,None,0
nccr_mwf_phenotyping_Pr_119_A5,None,0
nccr_mwf_phenotyping_Pr_119_A6,None,0
nccr_mwf_phenotyping_Ea_108_F10,None,0
nccr_mwf_phenotyping_Ea_108_F11,None,0
nccr_mwf_phenotyping_Ea_108_F12,None,0
nccr_mwf_phenotyping_Ea_108_D1,None,0
nccr_mwf_phenotyping_Ea_108_D2,None,0
nccr_mwf_phenotyping_Ea_108_D3,None,0
nccr_mwf_phenotyping_Ea_108_A7,None,0
nccr_mwf_phenotyping_Ea_108_A8,None,0
nccr_mwf_phenotyping_Ea_108_A9,None,0
nccr_mwf_phenotyping_Ea_108_E1,None,0
nccr_mwf_phenotyping_Ea_108_E2,None,0
nccr_mwf_phenotyping_Ea_108_E3,None,0
nccr_mwf_phenotyping_Ea_108_G1,None,0
nccr_mwf_phenotyping_Ea_108_G2,None,0
nccr_mwf_phenotyping_Ea_108_G3,None,0
nccr_mwf_phenotyping_Ea_108_H1,None,0
nccr_mwf_phenotyping_Ea_108_H2,None,0
nccr_mwf_phenotyping_Ea_108_H3,None,0
nccr_mwf_phenotyping_Ea_108_C1,None,0
nccr_mwf_phenotyping_Ea_108_C2,None,0
nccr_mwf_phenotyping_Ea_108_C3,None,0
nccr_mwf_phenotyping_Ea_108_C7,None,0
nccr_mwf_phenotyping_Ea_108_C8,None,0
nccr_mwf_phenotyping_Ea_108_C9,None,0
nccr_mwf_phenotyping_Ea_108_D4,None,0
nccr_mwf_phenotyping_Ea_108_D5,None,0
nccr_mwf_phenotyping_Ea_108_D6,None,0
nccr_mwf_phenotyping_Ea_108_G4,None,0
nccr_mwf_phenotyping_Ea_108_G5,None,0
nccr_mwf_phenotyping_Ea_108_G6,None,0
nccr_mwf_phenotyping_Ea_108_H7,None,0
nccr_mwf_phenotyping_Ea_108_H8,None,0
nccr_mwf_phenotyping_Ea_108_H9,None,0
nccr_mwf_phenotyping_Ea_108_C4,None,0
nccr_mwf_phenotyping_Ea_108_C5,None,0
nccr_mwf_phenotyping_Ea_108_C6,None,0
nccr_mwf_phenotyping_Ea_108_F1,None,0
nccr_mwf_phenotyping_Ea_108_F2,None,0
nccr_mwf_phenotyping_Ea_108_F3,None,0
nccr_mwf_phenotyping_Ea_108_A1,None,0
nccr_mwf_phenotyping_Ea_108_A2,None,0
nccr_mwf_phenotyping_Ea_108_A3,None,0
nccr_mwf_phenotyping_Ea_108_C10,None,0
nccr_mwf_phenotyping_Ea_108_C11,None,0
nccr_mwf_phenotyping_Ea_108_C12,None,0
nccr_mwf_phenotyping_Ea_108_E10,None,0
nccr_mwf_phenotyping_Ea_108_E11,None,0
nccr_mwf_phenotyping_Ea_108_E12,None,0
nccr_mwf_phenotyping_Ea_108_B4,None,0
nccr_mwf_phenotyping_Ea_108_B5,None,0
nccr_mwf_phenotyping_Ea_108_B6,None,0
nccr_mwf_phenotyping_Ea_108_E4,None,0
nccr_mwf_phenotyping_Ea_108_E5,None,0
nccr_mwf_phenotyping_Ea_108_E6,None,0
nccr_mwf_phenotyping_Ea_108_F4,None,0
nccr_mwf_phenotyping_Ea_108_F5,None,0
nccr_mwf_phenotyping_Ea_108_F6,None,0
nccr_mwf_phenotyping_Ea_108_F7,None,0
nccr_mwf_phenotyping_Ea_108_F8,None,0
nccr_mwf_phenotyping_Ea_108_F9,None,0
nccr_mwf_phenotyping_Ea_108_G7,None,0
nccr_mwf_phenotyping_Ea_108_G8,None,0
nccr_mwf_phenotyping_Ea_108_G9,None,0
nccr_mwf_phenotyping_Ea_108_D10,None,0
nccr_mwf_phenotyping_Ea_108_D11,None,0
nccr_mwf_phenotyping_Ea_108_D12,None,0
nccr_mwf_phenotyping_Ea_108_E7,None,0
nccr_mwf_phenotyping_Ea_108_E8,None,0
nccr_mwf_phenotyping_Ea_108_E9,None,0
nccr_mwf_phenotyping_Ea_108_G10,None,0
nccr_mwf_phenotyping_Ea_108_G11,None,0
nccr_mwf_phenotyping_Ea_108_G12,None,0
nccr_mwf_phenotyping_Ea_108_B7,None,0
nccr_mwf_phenotyping_Ea_108_B8,None,0
nccr_mwf_phenotyping_Ea_108_B9,None,0
nccr_mwf_phenotyping_Ea_108_A10,None,0
nccr_mwf_phenotyping_Ea_108_A11,None,0
nccr_mwf_phenotyping_Ea_108_A12,None,0
nccr_mwf_phenotyping_Ea_108_B10,None,0
nccr_mwf_phenotyping_Ea_108_B11,None,0
nccr_mwf_phenotyping_Ea_108_B12,None,0
nccr_mwf_phenotyping_Ea_108_B1,None,0
nccr_mwf_phenotyping_Ea_108_B2,None,0
nccr_mwf_phenotyping_Ea_108_B3,None,0
nccr_mwf_phenotyping_Ea_108_H4,None,0
nccr_mwf_phenotyping_Ea_108_H5,None,0
nccr_mwf_phenotyping_Ea_108_H6,None,0
nccr_mwf_phenotyping_Ea_108_H10,None,0
nccr_mwf_phenotyping_Ea_108_H11,None,0
nccr_mwf_phenotyping_Ea_108_H12,None,0
nccr_mwf_phenotyping_Ea_108_D7,None,0
nccr_mwf_phenotyping_Ea_108_D8,None,0
nccr_mwf_phenotyping_Ea_108_D9,None,0
nccr_mwf_phenotyping_Ea_108_A4,None,0
nccr_mwf_phenotyping_Ea_108_A5,None,0
nccr_mwf_phenotyping_Ea_108_A6,None,0
nccr_mwf_phenotyping_Ac_103_F10,None,0
nccr_mwf_phenotyping_Ac_103_F11,None,0
nccr_mwf_phenotyping_Ac_103_F12,None,0
nccr_mwf_phenotyping_Ac_103_D1,None,0
nccr_mwf_phenotyping_Ac_103_D2,None,0
nccr_mwf_phenotyping_Ac_103_D3,None,0
nccr_mwf_phenotyping_Ac_103_A7,None,0
nccr_mwf_phenotyping_Ac_103_A8,None,0
nccr_mwf_phenotyping_Ac_103_A9,None,0
nccr_mwf_phenotyping_Ac_103_E1,None,0
nccr_mwf_phenotyping_Ac_103_E2,None,0
nccr_mwf_phenotyping_Ac_103_E3,None,0
nccr_mwf_phenotyping_Ac_103_G1,None,0
nccr_mwf_phenotyping_Ac_103_G2,None,0
nccr_mwf_phenotyping_Ac_103_G3,None,0
nccr_mwf_phenotyping_Ac_103_H1,None,0
nccr_mwf_phenotyping_Ac_103_H2,None,0
nccr_mwf_phenotyping_Ac_103_H3,None,0
nccr_mwf_phenotyping_Ac_103_C1,None,0
nccr_mwf_phenotyping_Ac_103_C2,None,0
nccr_mwf_phenotyping_Ac_103_C3,None,0
nccr_mwf_phenotyping_Ac_103_C7,None,0
nccr_mwf_phenotyping_Ac_103_C8,None,0
nccr_mwf_phenotyping_Ac_103_C9,None,0
nccr_mwf_phenotyping_Ac_103_D4,None,0
nccr_mwf_phenotyping_Ac_103_D5,None,0
nccr_mwf_phenotyping_Ac_103_D6,None,0
nccr_mwf_phenotyping_Ac_103_G4,None,0
nccr_mwf_phenotyping_Ac_103_G5,None,0
nccr_mwf_phenotyping_Ac_103_G6,None,0
nccr_mwf_phenotyping_Ac_103_H7,None,0
